base_title,subtitle,title_tag_line,short_description,event_date,event_status,location,arena
UFC® 44,Undisputed,,,2003-09-26T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 43,Meltdown,,,2003-06-06T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",Thomas & Mack Center
UFC® 42,Sudden Impact,,,2003-04-25T00:00:00Z,POST_EVENT,"Miami, Florida",American Airlines Arena
UFC® 41,Onslaught,,,2003-02-28T00:00:00Z,POST_EVENT,"Atlantic City, N.J.",Atlantic City Boardwalk Hall
UFC® 40,Vendetta,,,2002-11-22T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 39,The Warriors Return,,,2002-09-27T00:00:00Z,POST_EVENT,"Uncasville, Connecticut",Mohegan Sun Arena
UFC® 38,Brawl At The Hall,,,2002-07-13T00:00:00Z,POST_EVENT,"London, United Kingdom",Royal Albert Hall
UFC® 37.5,As Real As It Gets®,,,2002-06-22T00:00:00Z,POST_EVENT,"Las Vegas, NV",Bellagio Hotel & Casino
UFC® 37,High Impact,,,2002-05-10T00:00:00Z,POST_EVENT,"Bossier City, Louisana",Centurytel Center
UFC® 36,Worlds Collide,,,2002-03-22T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 35,Throwdown,,,2002-01-11T00:00:00Z,POST_EVENT,"Uncasville, Connecticut",Mohegan Sun Arena
UFC® 34,High Voltage,,,2001-11-02T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 33,Victory In Vegas,,,2001-09-28T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 32,Showdown In The Meadowlands,,,2001-06-29T00:00:00Z,POST_EVENT,"East Rutherford, New Jersey",Continental Airlines Arena
UFC® 31,Locked & Loaded,,,2001-05-04T00:00:00Z,POST_EVENT,"Atlantic City, New Jersey",Trump Taj Mahal
UFC® 30,The Battle On The Boardwalk,,,2001-02-23T00:00:00Z,POST_EVENT,"Atlantic City, New Jersey",Trump Taj Mahal
UFC® 29,Defense Of The Belts,,,2000-12-16T00:00:00Z,POST_EVENT,,Tokyo
UFC® 28,High Stakes,,,2000-11-17T00:00:00Z,POST_EVENT,"Atlantic City, New Jersey",Trump Taj Mahal
UFC® 27,Ultimate Bad Boyz,,,2000-09-22T00:00:00Z,POST_EVENT,"New Orleans, Louisiana",Lake Front Arena
UFC® 26,Ultimate Field Of Dreams,,,2000-06-09T00:00:00Z,POST_EVENT,"Cedar Rapids, Iowa",Five Seasons Events Center
UFC® 25,Ultimate Japan 3,,,2000-04-14T00:00:00Z,POST_EVENT,,Tokyo
UFC® 24,First Defense,,,2000-03-10T00:00:00Z,POST_EVENT,"Lake Charles, Louisiana",Lake Charles Civic Center
UFC® 23,Ultimate Japan 2,,,1999-11-19T00:00:00Z,POST_EVENT,,Tokyo
UFC® 22,There Can Be Only One Champion,,,1999-09-24T00:00:00Z,POST_EVENT,"Lake Charles, Louisiana",Lake Charles Civic Center
UFC® 21,Return Of The Champions,,,1999-07-16T00:00:00Z,POST_EVENT,"Cedar Rapids, Iowa",Five Seasons Events Center
UFC® 20,Battle For The Gold,,,1999-05-07T00:00:00Z,POST_EVENT,"Birmingham, Alabama",Boutwell Auditorium
UFC® 19,Young Guns,,,1999-03-05T00:00:00Z,POST_EVENT,"St. Louis, Mississippi",Casino Magic Bay
UFC® 18,Road To The Heavyweight Title,,,1999-01-08T00:00:00Z,POST_EVENT,"New Orleans, Louisiana",Pontchartrain Center
Ultimate ,Brazil,,,1998-10-16T00:00:00Z,POST_EVENT,,Sao Paulo
UFC® 17,Redemption,,,1998-05-15T00:00:00Z,POST_EVENT,"Mobile, Alabama",Mobile Civic Center
UFC® 16,Battle In The Bayou,,,1998-03-13T00:00:00Z,POST_EVENT,"New Orleans, Louisiana",Pontchartrain Center
UFC® Japan,Ultimate Japan,,,1997-12-21T00:00:00Z,POST_EVENT,,Yokohama Arena
UFC® 15,Collision Course,,,1997-10-17T00:00:00Z,POST_EVENT,"St. Louis, Mississippi",Casino Magic Bay
UFC® 14,Showdown,,,1997-07-27T00:00:00Z,POST_EVENT,"Birmingham, Alabama",Boutwell Auditorium
UFC® 13,The Ultimate Force,,,1997-05-30T00:00:00Z,POST_EVENT,"Augusta, Georgia",Augusta Civic Center
UFC® 12, Judgement Day,,,1997-02-07T00:00:00Z,POST_EVENT,"Dothan, AL",Dothan Civic Center
Ultimate Ultimate 96, _,,,1996-12-07T00:00:00Z,POST_EVENT,"Birmingham, Alabama",State Fair Arena
UFC® 11,The Proving Ground,,,1996-09-20T00:00:00Z,POST_EVENT,"Augusta, Georgia",Augusta Civic Center
UFC® 10,The Tournament,,,1996-07-12T00:00:00Z,POST_EVENT,"Birmingham, Alabama",State Fair Arena
UFC® 9,Motor City Madness,,,1996-05-17T00:00:00Z,POST_EVENT,"Detroit, Michigan",Cobo Arena
UFC® 8,David vs Goliath,,,1996-02-16T00:00:00Z,POST_EVENT,,Ruben Rodriguez Coliseum
Ultimate Ultimate 95,_,,,1995-12-16T00:00:00Z,POST_EVENT,"Denver, Colorado",Mammoth Gardens
UFC® 7,The Brawl In Buffalo,,,1995-09-08T00:00:00Z,POST_EVENT,"Buffalo, New York",Buffalo Memorial Auditorium
UFC® 6,Clash Of The Titans,,,1995-07-14T00:00:00Z,POST_EVENT,"Casper, Wyoming",Casper Events Center
UFC® 5,Return Of The Beast,,,1995-04-07T00:00:00Z,POST_EVENT,"Charlotte, North Carolina",Independence Arena
UFC® 4,Revenge Of The Warriors,,,1994-12-16T00:00:00Z,POST_EVENT,"Tulsa, Oklahoma",Expo Square Pavilion
UFC® 3,The American Dream,,,1994-09-09T00:00:00Z,POST_EVENT,"Charlotte, North Carolina",Independence Arena
UFC® 2,No Way Out,,,1994-03-11T00:00:00Z,POST_EVENT,"Denver, Colorado",Mammoth Gardens
UFC® 1,The Beginning,,,1993-11-12T00:00:00Z,POST_EVENT,"Denver, Colorado",McNichols Arena
