base_title,subtitle,title_tag_line,short_description,event_date,event_status,location,arena
UFC® 135,JONES vs. RAMPAGE,,"The UFC® returns to Denver, as UFC® Light Heavyweight champ Jon Jones defends his title against former champion Quinton ""Rampage"" Jackson.",2011-09-25T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC® 135,JONES vs. RAMPAGE,,"The UFC® returns to Denver, as UFC® Light Heavyweight champ Jon Jones defends his title against former champion Quinton ""Rampage"" Jackson.",2011-09-25T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC® 135,JONES vs. RAMPAGE,,"The UFC® returns to Denver, as UFC® Light Heavyweight champ Jon Jones defends his title against former champion Quinton ""Rampage"" Jackson.",2011-09-24T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC® 135,JONES vs. RAMPAGE,,"The UFC® returns to Denver, as UFC® Light Heavyweight champ Jon Jones defends his title against former champion Quinton ""Rampage"" Jackson.",2011-09-25T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC® 135,JONES vs. RAMPAGE,,"The UFC® returns to Denver, as UFC® Light Heavyweight champ Jon Jones defends his title against former champion Quinton ""Rampage"" Jackson.",2011-09-25T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC® 135,JONES vs. RAMPAGE,,"The UFC® returns to Denver, as UFC® Light Heavyweight champ Jon Jones defends his title against former champion Quinton ""Rampage"" Jackson.",2011-09-25T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC® 135 Live on Pay Per View,JONES vs. RAMPAGE,,"The UFC® returns to Denver, as UFC® Light Heavyweight champ Jon Jones defends his title against former champion Quinton ""Rampage"" Jackson.",2011-09-24T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC Fight Night Live,SHIELDS vs. ELLENBERGER,,"It's a Battle in the Bayou, as the UFC® invades New Orleans. Jake Shields faces Jake Ellenberger in an electrifying main event.",2011-09-17T00:00:00Z,POST_EVENT,"New Orleans, LA",New Orleans Convention Center
UFC® RIO Live on Pay-Per-View,Silva vs. Okami,,"The UFC® makes its long-awaited return to Brazil, as UFC® Middleweight champ Anderson Silva defends his title against Yushin  Okami.",2011-08-27T00:00:00Z,POST_EVENT,,HSBC Arena
UFC® LIVE 5,Hardy vs. Lytle,,The UFC® makes its debut in Milwaukee for UFC® on VERSUS.,2011-08-14T00:00:00Z,POST_EVENT,"Milwaukee, WI",Bradley Center
UFC® 133 Live on Pay-Per-View,Evans vs. Ortiz,,"Former light heavyweight champions collide in Philadelphia, as Rashad Evans takes on Tito Ortiz in a bout with title implications.",2011-08-06T00:00:00Z,POST_EVENT,"Philadelphia, PA",Wells Fargo Center
UFC® 132,Cruz vs. Faber,,UFC® Bantamweight Champion Dominick Cruz defends his title against former WEC® Featherweight champ Urijah Faber.,2011-07-02T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® Live on Versus,KONGO vs BARRY,,Cheick Kongo vs. Pat Barry bout has been elevated to the main event.,2011-06-26T00:00:00Z,POST_EVENT,"Pittsburgh, PA",CONSOL Energy Center
UFC® 131,DOS SANTOS vs. CARWIN,,"The UFC® returns to Vancouver with an exciting main event, as Junior dos Santos and Shane Carwin meet in a battle of heavyweight powerhouses.",2011-06-11T00:00:00Z,POST_EVENT,"Vancouver, BC",Rogers Arena
The Ultimate Fighter Finale,Team Lesnar vs. Team Dos Santos ,,,2011-06-04T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 130,Rampage vs. Hamill,,"Former UFC® Champion Quinton ""Rampage"" Jackson takes on Matt Hamill in a pivotal light heavyweight bout.",2011-05-28T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-05-01T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-04-30T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-05-01T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-05-01T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-04-30T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-05-01T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-04-30T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-05-01T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-05-01T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® 129,ST-PIERRE vs. SHIELDS,,The UFC® makes its debut in Toronto with an epic clash between Welterweight champ Georges St-Pierre and No. 1 contender Jake Shields.,2011-04-30T00:00:00Z,POST_EVENT,"Toronto, Ontario",Rogers Centre
UFC® Fight Night Live,NOGUEIRA vs. DAVIS,,MMA legend Antonio Rogerio Nogueira takes on undefeated Phil Davis in Seattle.,2011-03-26T00:00:00Z,POST_EVENT,"Seattle, WA",Key Arena
UFC® 128,SHOGUN vs JONES,,"The UFC® returns to Newark on March 19 as UFC light heavyweight champion Mauricio “Shogun” Rua tries to defend his title versus whiz kid, Jon Jones.",2011-03-19T00:00:00Z,POST_EVENT,"Newark, New Jersey",Prudential Center
UFC on VERSUS,SANCHEZ vs. KAMPMANN,,"For the first time ever, UFC® delivers its hard-hitting action to the Bluegrass State for UFC® LIVE, from the KFC Yum! Center in Louisville.",2011-03-03T00:00:00Z,POST_EVENT,"Louisville, KY",KFC Yum! Center
UFC® 127,PENN vs. FITCH,,"Former UFC® Lightweight and Welterweight champ BJ Penn takes on Welterweight contender Jon Fitch in Sydney, Australia.",2011-02-26T00:00:00Z,POST_EVENT,"Sydney, NSW",Acer Arena
UFC® 126,SILVA vs BELFORT,,"UFC® Middleweight champ Anderson Silva defends his title against former UFC® Light Heavyweight champ Vitor Belfort.
",2011-02-05T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC Fight Night ,Fight for the Troops 2,,"For information on how to donate, please visit http://www.ufc.com/fight-for-the-troops-2-auction",2011-01-22T00:00:00Z,POST_EVENT,,
UFC® Fight Night™ ,Fight for the Troops 2,,この特別なUFC中継の対戦カードは外傷性脳損傷を患う合衆国軍の勇敢な男女のための基金を積み立てるためのものです。募金に関する情報はwww.FightForTheTroops.com をご参照ください。,2011-01-23T00:00:00Z,POST_EVENT,,
UFC® Fight Night™ ,Fight for the Troops 2,,"Para informações sobre como doar, por favor visite www.FightForTheTroops.com.",2011-01-23T00:00:00Z,POST_EVENT,,
UFC® Fight Night™ ,Fight for the Troops 2,,"For information on how to donate, please visit www.FightForTheTroops.com. ",2011-01-23T00:00:00Z,POST_EVENT,,
UFC® Fight Night™ ,Fight for the Troops 2,,"Para más información en como donar, visita  www.FightForTheTroops.com.",2011-01-22T00:00:00Z,POST_EVENT,,
UFC® Fight Night™ ,Fight for the Troops 2,,"For information on how to donate, please visit www.FightForTheTroops.com. ",2011-01-23T00:00:00Z,POST_EVENT,,
UFC® Fight Night™ ,Fight for the Troops 2,,"For information on how to donate, please visit www.FightForTheTroops.com. ",2011-01-22T00:00:00Z,POST_EVENT,,
UFC® Fight Night™ ,Fight for the Troops 2,,"For information on how to donate, please visit www.FightForTheTroops.com. ",2011-01-23T00:00:00Z,POST_EVENT,,
UFC Fight for the Troops 2,Dunham vs Guillard,,"For information on how to donate, please visit http://www.ufc.com/fight-for-the-troops-2-auction",2011-01-22T00:00:00Z,POST_EVENT,,
UFC® 125,RESOLUTION,,The UFC® Lightweight belt is on the line as Frankie Edgar defends his title in a rematch against undefeated No. 1 contender Gray Maynard.,2011-01-01T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 125,RESOLUTION,,The UFC® Lightweight belt is on the line as Frankie Edgar defends his title in a rematch against undefeated No. 1 contender Gray Maynard.,2011-01-02T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 125,RESOLUTION,,El cinturón peso ligero de UFC® está en juego cuando Frankie Edgar defienda su título contra el contendiente invicto  Núm. 1 Gray Maynard.,2011-01-01T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 125,RESOLUTION,,,2011-01-02T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 125,RESOLUTION,,O cinturão peso leve do UFC® está em jogo quando Frankie Edgar defende seu título em uma revanche contra o invicto desafiante Gray Maynard.,2011-01-02T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 125,RESOLUTION,,,2011-01-01T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 125,RESOLUTION,,UFC®ライト級のベルトを賭けた一戦。フランキー・エドガーが無敗のナンバーワン・コンテンダー、グレイ・メイナードを相手に防衛線を行う。,2011-01-01T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 125,RESOLUTION,,The UFC® Lightweight belt is on the line as Frankie Edgar defends his title in a rematch against undefeated No. 1 contender Gray Maynard.,2011-01-01T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 124,ST-PIERRE vs KOSCHECK,, UFC® welterweight champion and Montreal native Georges St-Pierre goes home to once again face his most heated rival - No. 1 contender Josh Koscheck.,2010-12-11T00:00:00Z,POST_EVENT,"Montreal, Québec",Bell Centre
The Ultimate Fighter® 12,Team GSP vs Team Koscheck Finale,,Two of The Ultimate Fighter’s® most celebrated alumni will be featured in separate co-featured in the live finale.  ,2010-12-04T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
