first_name,last_name,wins,losses,draws,weight_class,title_holder,fighter_status
Kurt,Holobaugh,17.0,4.0,0.0,Featherweight,False,Active
Opponent,TBD,,,,Middleweight,False,Active
Bryan,Barberena,13.0,5.0,0.0,Welterweight,False,Active
Boston,Salmon,6.0,1.0,0.0,Bantamweight,False,Active
Mike,Swick,15.0,6.0,0.0,Welterweight,False,NotFighting
Krzysztof,Soszynski,22.0,13.0,1.0,Light_Heavyweight,False,NotFighting
Norifumi,Yamamoto,18.0,6.0,0.0,Bantamweight,False,Active
Ricky,Turcios,8.0,0.0,0.0,Bantamweight,False,Active
Daniel,Spohn,16.0,5.0,0.0,Light_Heavyweight,False,Active
Nordine,Taleb,14.0,5.0,0.0,Welterweight,False,Active
Mike,Rodriguez,9.0,3.0,0.0,Light_Heavyweight,False,Active
Paul,Taylor,11.0,6.0,1.0,Lightweight,False,NotFighting
Elias,Theodorou,16.0,2.0,0.0,Middleweight,False,Active
CJ,Hamilton,11.0,5.0,0.0,Flyweight,False,Active
Dennis,Siver,23.0,11.0,0.0,Featherweight,False,Active
Glover,Teixeira,27.0,6.0,0.0,Light_Heavyweight,False,Active
Charles,Rosa,11.0,3.0,0.0,Featherweight,False,Active
Casey ,Kenney,7.0,1.0,1.0,Flyweight,False,Active
Sheldon,Westcott,10.0,3.0,1.0,Welterweight,False,Active
Alfred ,Khashakyan,8.0,4.0,0.0,Bantamweight,False,Active
Matt,Grice,15.0,5.0,0.0,Featherweight,False,NotFighting
Maryna,Moroz,8.0,3.0,0.0,Women_Strawweight,False,Active
Lina,Lansberg,8.0,3.0,0.0,Women_Bantamweight,False,Active
Thanh ,Le,7.0,1.0,0.0,Featherweight,False,Active
Ronda,Rousey,12.0,2.0,0.0,Women_Bantamweight,False,Active
Sage,Northcutt,10.0,2.0,0.0,Lightweight,False,Active
Lazar ,Stojadinovic,12.0,6.0,0.0,Featherweight,False,Active
Rashad,Evans,24.0,8.0,1.0,Light_Heavyweight,False,Active
Luke,Rockhold,16.0,4.0,0.0,Middleweight,False,Active
Islam,Makhachev,15.0,1.0,0.0,Lightweight,False,Active
Mizuto,Hirota,19.0,9.0,2.0,Lightweight,False,Active
Gregor,Gillespie,12.0,0.0,0.0,Lightweight,False,Active
Sidney,Outlaw,9.0,4.0,0.0,Welterweight,False,Active
Urijah,Faber,34.0,10.0,0.0,Bantamweight,False,NotFighting
Joshua,Burkman,29.0,17.0,0.0,Welterweight,False,Active
Ronaldo,Souza,25.0,6.0,0.0,Middleweight,False,Active
Krzysztof,Jotko,19.0,5.0,0.0,Middleweight,False,Active
Teruto,Ishihara,11.0,5.0,2.0,Bantamweight,False,Active
Michael,Cora,4.0,2.0,0.0,Welterweight,False,Active
